User_ID,Age,Gender,Occupation,Primary_Platform,Daily_Usage_Hours,Tried_To_Cut_Back,Anxiety_Score,Depression_Score,Sleep_Quality_Score,Sleep_Hours,Mental_Wellbeing_Score,Addiction_Level,States
USR00210,28,Male,Working Professional,Twitter/X,3,Yes,5.2,,6.1,6.2,4.4,Severe,Tripura
USR00211,19,Female,Student,Facebook,3.1,Yes,8.3,2.3,4.7,7.1,6.1,Moderate,Tripura
USR00212,22,Male,Working Professional,YouTube,5.6,No,3.9,2.7,2.7,6.9,5.4,High,Telangana
USR00213,36,Non-binary,Working Professional,TikTok,4.6,Yes,5,,2.6,6.4,4.6,Severe,Tripura
USR00214,41,Female,Working Professional,Instagram,2.8,Yes,5.6,5,3.5,8.2,7.7,Moderate,Karnataka
USR00215,24,Male,Working Professional,TikTok,5.4,Yes,0.2,3.5,2.1,7.6,4.8,Severe,Bihar
USR00216,21,Female,Working Professional,Twitter/X,4.8,No,2.7,4,4.7,3.7,8.1,Low,Punjab
USR00217,30,,Student,Snapchat,4.3,Yes,4.5,6.5,6.3,5.7,6.3,Moderate,Telangana
USR00218,26,Male,Working Professional,Instagram,7.7,No,0.3,7.1,8.4,7.1,7.6,Low,Tripura
USR00219,42,Male,Freelancer,Instagram,4,No,6.4,3.8,3.7,6.8,7.8,Low,Odisha
USR00220,33,Male,Freelancer,Instagram,1.6,No,2.5,5.1,7.6,6.4,5.4,Severe,meghalaya
USR00221,43,Female,Student,Instagram,4.8,Yes,5.8,5.1,3.6,5.4,6.7,Moderate,Manipur
USR00222,31,Non-binary,Student,Instagram,2.4,Yes,3.1,1.8,6.1,7.7,7.5,Low,Nagaland
USR00223,20,Female,Student,TikTok,6.3,No,,3.3,8.1,4.6,7,Moderate,Bihar
USR00224,18,Male,Student,TikTok,5.8,No,3.8,4.8,3,6.7,6.9,Moderate,Arunachal pardesh
USR00225,28,Male,Student,Snapchat,3.8,Yes,2.3,8.2,8.3,6.7,8.8,Low,Arunachal pardesh
USR00226,15,Female,Student,Instagram,5.6,No,9.2,2.9,4.5,8.6,5.5,High,Andhara pardesh
USR00227,36,Female,Working Professional,Facebook,3.6,Yes,0.2,5.3,8.3,5.4,8.1,Low,Arunachal pardesh
USR00228,38,Male,Student,YouTube,3.5,Yes,4.7,4,4.4,7.7,5.6,High,Chhattisgarh
USR00229,16,Female,Working Professional,Instagram,0.7,No,3.7,5.1,6.4,7.2,7,Moderate,Chhattisgarh
USR00230,28,Non-binary,Student,Twitter/X,0.5,No,7,4.3,6.1,5.9,7,Moderate,Goa
USR00231,23,Male,Unemployed,Snapchat,3.6,No,7.5,5,4.9,6.6,5.4,Severe,Odisha
USR00232,35,Male,Student,Instagram,8.3,Yes,,3.1,6.3,5.1,6.3,High,Gujarat
USR00233,42,Female,Freelancer,Snapchat,1.9,Yes,6.4,7,2.3,7,6.3,Moderate,Gujarat
USR00234,29,Male,Working Professional,,4.3,No,6.1,2.1,7.2,6,7.5,Low,kerala
USR00235,28,Male,Freelancer,Instagram,3.1,No,3.1,6.3,2.9,6.4,5.2,High,Nagaland
USR00236,24,Male,Working Professional,TikTok,5.6,Yes,6.1,5.9,5,6.2,5.2,Severe,Tamil nadu
USR00237,25,Female,Student,Instagram,2.7,No,0,6.2,5.8,6.6,8,Low,Telangana
USR00238,15,Male,Working Professional,Instagram,4.3,Yes,9.9,4.2,4.3,8.4,8.1,Low,Tripura
USR00239,17,Male,Student,YouTube,5.4,Yes,,4.7,3.8,8.1,6,Moderate,Tripura
USR00240,31,Female,Working Professional,Facebook,3.4,No,4.9,3.4,2.9,6.4,6.2,Moderate,Tripura
USR00241,38,Female,Working Professional,Instagram,4.2,Yes,3.9,1.3,3.8,6.1,4.1,Severe,Tamil nadu
USR00242,21,Female,Student,Facebook,4,Yes,5.7,4,3.4,7.2,7.3,Low,Tripura
USR00243,33,Male,Freelancer,Snapchat,5.6,No,5,5,,6.2,4,Severe,Arunachal pardesh
USR00244,24,Non-binary,Working Professional,TikTok,5.8,Yes,5.2,7.4,6.6,6.4,3.5,Severe,Arunachal pardesh
USR00245,24,Male,Working Professional,Twitter/X,6.1,Yes,2,4.5,7.6,3.9,5.6,High,Goa
USR00246,28,Female,Working Professional,Instagram,5.4,No,8.6,,8.3,8.3,7.6,Moderate,Haryana
USR00247,36,Male,Freelancer,Instagram,2.4,No,4,0.2,6.4,3.9,6,High,Haryana
USR00248,26,Female,Student,Twitter/X,3.6,No,2.6,3.8,8.3,7.9,7.7,Low,Himachal pardesh
USR00249,16,Male,Student,Instagram,5.6,Yes,5.4,0,5.7,7.9,4.3,Severe,Himachal pardesh
